age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
21,Local-gov,38771,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States
45,Private,188950,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States
24,Private,239663,10th,6,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Mexico
37,Private,95336,10th,6,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,65,United-States
59,Private,192983,HS-grad,9,Separated,Other-service,Not-in-family,White,Female,0,0,40,United-States
22,Private,211678,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States
41,Private,147372,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,48,United-States
20,Private,388156,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,24,United-States
39,Private,230329,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,United-States
28,Private,124680,HS-grad,9,Never-married,Sales,Unmarried,White,Female,0,0,70,United-States
34,Private,314646,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
61,Local-gov,95450,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,5178,0,50,United-States
40,Private,221172,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States
40,Local-gov,370502,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Mexico
41,Private,193626,HS-grad,9,Married-spouse-absent,Craft-repair,Unmarried,White,Female,0,0,40,United-States
66,Private,192504,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
30,Private,144593,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Male,0,0,40,?
48,Private,155509,Some-college,10,Never-married,Craft-repair,Not-in-family,Black,Female,0,0,40,United-States
36,Private,99872,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,India
46,Private,186410,Prof-school,15,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States
51,Private,74660,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
67,Private,105216,Some-college,10,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,25,United-States
22,Private,306779,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,50,United-States
38,Self-emp-inc,187411,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
46,Private,353512,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States
28,Private,51672,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,35,United-States
38,Private,224566,Assoc-voc,11,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,50,United-States
26,Private,421561,11th,7,Married-civ-spouse,Other-service,Other-relative,White,Male,0,0,25,United-States
56,Private,110003,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
45,Private,338105,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,Vietnam
41,Private,116391,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
21,Private,100462,Assoc-voc,11,Never-married,Exec-managerial,Own-child,White,Female,2174,0,60,United-States
24,Private,306779,Assoc-voc,11,Never-married,Exec-managerial,Own-child,White,Male,0,0,35,United-States
33,Private,191335,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1902,50,United-States
25,Self-emp-not-inc,191803,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Male,0,0,50,United-States
45,Private,116163,HS-grad,9,Separated,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States
40,State-gov,195520,Some-college,10,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,49,United-States
30,Private,373914,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
41,Private,207779,HS-grad,9,Separated,Other-service,Not-in-family,White,Female,0,0,40,United-States
35,Private,340110,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1848,70,United-States
27,Private,124953,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,1980,40,United-States
23,Private,91658,Some-college,10,Divorced,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States
45,Private,191858,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,United-States
26,Local-gov,163189,Some-college,10,Married-civ-spouse,Other-service,Other-relative,White,Male,0,0,40,United-States
38,Local-gov,123983,Bachelors,13,Never-married,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,0,1741,40,Vietnam
22,Private,154713,HS-grad,9,Divorced,Sales,Own-child,White,Male,0,0,40,United-States
40,Private,201764,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States
27,State-gov,340269,Some-college,10,Never-married,Protective-serv,Not-in-family,White,Male,0,0,40,United-States
36,Private,116138,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,Cambodia
37,Private,176900,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,99,United-States
44,?,136419,10th,6,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States
21,Private,275395,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States
20,?,202994,Some-college,10,Never-married,?,Own-child,White,Female,0,0,16,United-States
37,Local-gov,102936,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,55,United-States
51,Self-emp-inc,103995,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Female,0,0,25,United-States
50,Self-emp-not-inc,131982,HS-grad,9,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,0,60,South
44,Private,228057,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,Dominican-Republic
41,Private,347653,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,50,United-States
39,Private,299828,5th-6th,3,Separated,Sales,Unmarried,Black,Female,0,0,30,Puerto-Rico
25,Private,135845,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States
26,Private,124068,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,20,United-States
36,Private,201519,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States
31,Private,433788,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States
43,Private,315971,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States
35,Private,25803,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
33,Private,97521,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States
41,Local-gov,37848,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,25,United-States
22,Private,157145,Assoc-voc,11,Never-married,Craft-repair,Own-child,White,Male,0,0,50,United-States
56,Self-emp-not-inc,210731,7th-8th,4,Divorced,Sales,Other-relative,White,Male,0,0,20,Mexico
21,State-gov,129345,Some-college,10,Never-married,Protective-serv,Not-in-family,White,Male,0,0,40,United-States
26,Private,229613,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States
36,Private,116608,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States
39,Private,324231,HS-grad,9,Widowed,Machine-op-inspct,Unmarried,Black,Female,0,0,40,United-States
33,Private,172304,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States
27,Private,204497,10th,6,Divorced,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Male,0,0,75,United-States
19,Private,145844,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,50,United-States
32,Private,45796,12th,8,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States
30,Private,262994,Some-college,10,Divorced,Craft-repair,Not-in-family,Black,Male,0,0,40,United-States
28,Private,136985,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,35,United-States
21,Private,331611,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,50,United-States
30,Private,194901,HS-grad,9,Never-married,Sales,Other-relative,White,Male,0,0,40,United-States
46,Private,163021,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States
40,Federal-gov,298635,Masters,14,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,0,1902,40,Philippines
22,?,201179,Some-college,10,Never-married,?,Own-child,White,Male,0,0,40,United-States
46,Private,137354,Masters,14,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,0,0,40,Philippines
37,Private,291981,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States
48,Private,38950,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50,United-States
42,Local-gov,19700,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States
26,Private,39014,12th,8,Married-civ-spouse,Priv-house-serv,Wife,Other,Female,0,0,40,Dominican-Republic
33,Private,175479,5th-6th,3,Never-married,Other-service,Unmarried,White,Female,0,0,40,Mexico
61,Self-emp-inc,134768,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
26,Private,122575,Bachelors,13,Never-married,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,0,0,60,Vietnam
27,Private,133937,Masters,14,Never-married,Sales,Own-child,White,Male,0,0,40,United-States
37,Private,199753,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,United-States
34,Private,97355,Some-college,10,Divorced,Sales,Not-in-family,White,Female,0,0,60,United-States
33,Private,280923,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Mexico
46,Private,175925,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States
18,Private,257980,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States
34,Self-emp-not-inc,140011,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States
49,Self-emp-inc,191277,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50,United-States
42,Private,213464,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
62,Private,91433,10th,6,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States
48,Self-emp-not-inc,362883,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60,United-States
28,?,113635,11th,7,Never-married,?,Not-in-family,White,Male,0,0,30,United-States
27,Private,176683,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,48,United-States
52,State-gov,125796,Masters,14,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,1848,40,United-States
31,Private,262024,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States
42,Private,190767,Assoc-voc,11,Divorced,Tech-support,Unmarried,White,Female,0,0,40,United-States
41,Private,178431,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,Taiwan
43,Private,206833,HS-grad,9,Separated,Handlers-cleaners,Unmarried,Black,Female,0,0,45,United-States
20,Private,289944,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,25,United-States
24,Local-gov,187397,Some-college,10,Never-married,Protective-serv,Unmarried,Other,Male,1151,0,40,United-States
28,Private,209801,9th,5,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States
18,Federal-gov,101709,11th,7,Never-married,Other-service,Own-child,Asian-Pac-Islander,Male,0,0,15,Philippines
60,Private,83850,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
27,Private,153291,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States
54,Private,182187,Assoc-voc,11,Married-civ-spouse,Protective-serv,Husband,Black,Male,15024,0,38,Jamaica
38,Private,245372,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,45,United-States
32,Private,205528,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States
61,Private,183355,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States
46,Local-gov,121370,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,30,United-States
37,Private,254973,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Wife,White,Female,0,0,40,United-States
36,Private,212433,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,0,0,40,United-States
23,Private,60331,Some-college,10,Never-married,Transport-moving,Not-in-family,White,Male,0,0,60,United-States
21,Private,109667,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States
20,Private,100188,Some-college,10,Never-married,Tech-support,Own-child,White,Female,0,0,24,United-States
35,Private,228190,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United-States
20,Local-gov,325493,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,40,United-States
39,Private,356838,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,12,United-States
57,Private,47619,Assoc-acdm,12,Divorced,Prof-specialty,Not-in-family,Black,Female,0,0,40,United-States
47,Self-emp-not-inc,122307,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,1887,40,United-States
45,Private,348854,Some-college,10,Separated,Adm-clerical,Unmarried,White,Female,0,0,27,United-States
33,Private,273243,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States
52,Private,75839,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States
42,Self-emp-not-inc,34037,Bachelors,13,Never-married,Farming-fishing,Own-child,White,Male,0,0,35,United-States
81,Private,114670,9th,5,Widowed,Priv-house-serv,Not-in-family,Black,Female,2062,0,5,United-States
30,Private,202450,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,65,United-States
46,Self-emp-inc,283004,Assoc-voc,11,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,63,Thailand
27,Private,381789,12th,8,Married-civ-spouse,Farming-fishing,Own-child,White,Male,0,0,55,United-States
25,Private,169990,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
22,Private,186849,11th,7,Divorced,Sales,Own-child,White,Male,0,0,50,United-States
36,State-gov,97136,Bachelors,13,Never-married,Prof-specialty,Unmarried,Black,Female,0,0,40,United-States
29,Private,354558,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States
36,Private,52327,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Other,Male,0,0,40,Iran
19,Private,172582,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,30,United-States
45,Private,229967,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,13550,0,50,United-States
26,Local-gov,288781,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,42,United-States
65,Private,118779,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,30,United-States
44,Local-gov,231793,Doctorate,16,Married-spouse-absent,Prof-specialty,Unmarried,White,Female,0,0,38,United-States
43,Private,197810,Masters,14,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States
30,Self-emp-inc,443546,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,35,United-States
37,Private,404661,Some-college,10,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,40,United-States
52,Private,158993,HS-grad,9,Divorced,Other-service,Other-relative,Black,Female,0,0,38,United-States
45,Private,281565,HS-grad,9,Widowed,Other-service,Other-relative,Asian-Pac-Islander,Female,0,0,50,South
47,Private,280798,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
46,State-gov,106705,Some-college,10,Divorced,Prof-specialty,Unmarried,White,Female,1506,0,50,United-States
59,Private,113203,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
42,Private,33521,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States
45,Self-emp-not-inc,216402,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,50,India
64,Private,256466,HS-grad,9,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,0,0,60,Philippines
40,Private,201734,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,48,United-States
35,Private,215310,11th,7,Divorced,Handlers-cleaners,Other-relative,White,Male,0,0,40,United-States
69,?,148694,HS-grad,9,Divorced,?,Not-in-family,White,Female,0,0,40,United-States
24,State-gov,177526,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,15,United-States
55,Private,141877,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States
26,Private,206600,Bachelors,13,Never-married,Craft-repair,Own-child,White,Male,0,0,40,Mexico
33,Private,180551,Some-college,10,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States
26,Private,290286,HS-grad,9,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,40,United-States
34,Private,122616,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,84,United-States
35,Private,190728,HS-grad,9,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States
43,Private,117627,Some-college,10,Divorced,Exec-managerial,Not-in-family,Black,Female,0,0,40,United-States
49,?,261059,10th,6,Separated,?,Own-child,White,Male,2176,0,40,United-States
17,Private,115551,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,20,United-States
53,Private,33304,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States
53,Private,479621,Assoc-voc,11,Divorced,Tech-support,Not-in-family,Black,Male,0,0,40,United-States
63,Private,181863,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,27,United-States
46,State-gov,394860,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,38,United-States
37,Private,105803,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States
25,Private,121102,Assoc-acdm,12,Never-married,Tech-support,Not-in-family,White,Female,0,2001,30,United-States
43,Private,281138,HS-grad,9,Separated,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States
42,Private,134509,Some-college,10,Never-married,Transport-moving,Unmarried,Black,Female,0,0,40,United-States
29,Private,37933,12th,8,Married-spouse-absent,Other-service,Not-in-family,Black,Female,0,0,40,United-States
45,Self-emp-not-inc,298130,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,25,United-States
50,Private,183638,HS-grad,9,Widowed,Sales,Unmarried,White,Female,0,0,40,United-States
25,Private,204219,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,Mexico
30,Private,185336,Some-college,10,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,37,United-States
50,Private,124963,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,55,United-States
56,Private,35520,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,42,United-States
24,Private,204172,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Female,0,0,48,United-States
20,Private,104164,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States
59,Local-gov,238431,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,38,United-States
44,Private,67671,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States
20,Private,219211,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,20,United-States
50,Private,89041,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,15024,0,50,United-States
40,State-gov,199381,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,15024,0,37,United-States
36,Private,257380,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,35,United-States
33,Private,168981,Masters,14,Divorced,Exec-managerial,Own-child,White,Female,14084,0,50,United-States
32,Self-emp-not-inc,182691,HS-grad,9,Never-married,Other-service,Unmarried,White,Male,0,0,60,United-States
31,?,213771,HS-grad,9,Widowed,?,Unmarried,White,Female,0,0,36,United-States
45,Private,190115,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White,Male,0,0,40,United-States
55,Self-emp-not-inc,278228,10th,6,Married-civ-spouse,Sales,Husband,White,Male,0,0,35,United-States
27,Private,118230,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States
31,Private,188096,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,72,United-States
24,Private,85041,HS-grad,9,Separated,Other-service,Unmarried,White,Female,0,0,25,United-States
47,Private,583755,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States
56,Private,132026,Bachelors,13,Married-civ-spouse,Sales,Husband,Black,Male,7688,0,45,United-States
